Date,Asset,Price
2023-01-02,GTCo,26.501995256238207
2023-01-03,GTCo,26.41374196556355
2023-01-04,GTCo,27.05250185175114
2023-01-05,GTCo,28.559861959598127
2023-01-06,GTCo,28.370345890448863
2023-01-09,GTCo,28.182103432931573
2023-01-10,GTCo,29.810375862253803
2023-01-11,GTCo,30.658207837532004
2023-01-12,GTCo,30.207476169316543
2023-01-13,GTCo,30.82549712467536
2023-01-16,GTCo,30.37868013426902
2023-01-17,GTCo,29.93594165066745
2023-01-18,GTCo,30.23190470003763
2023-01-19,GTCo,28.33403331574636
2023-01-20,GTCo,26.729175280067107
2023-01-23,GTCo,26.25165495277384
2023-01-24,GTCo,25.3833265036902
2023-01-25,GTCo,25.69855994163026
2023-01-26,GTCo,24.93892082481258
2023-01-27,GTCo,23.78256461973943
2023-01-30,GTCo,25.057858191439596
2023-01-31,GTCo,24.89880607908049
2023-02-01,GTCo,24.99346210087988
2023-02-02,GTCo,23.824302629529463
2023-02-03,GTCo,23.41319795802884
2023-02-06,GTCo,23.537567783798444
2023-02-07,GTCo,22.650329139090264
2023-02-08,GTCo,22.980496658025075
2023-02-09,GTCo,22.539977241148105
2023-02-10,GTCo,22.345814862434977
2023-02-13,GTCo,21.9166509024942
2023-02-14,GTCo,23.403295800832424
2023-02-15,GTCo,23.426409858813194
2023-02-16,GTCo,22.61633792013632
2023-02-17,GTCo,23.30401942083595
2023-02-20,GTCo,22.371378247793125
2023-02-21,GTCo,22.56666047881729
2023-02-22,GTCo,21.11602472410424
2023-02-23,GTCo,20.195699491819397
2023-02-24,GTCo,20.3635202014732
2023-02-27,GTCo,20.92166710095546
2023-02-28,GTCo,21.076896054779866
2023-03-01,GTCo,21.023175388166266
2023-03-02,GTCo,20.835285033571843
2023-03-03,GTCo,19.82367165968878
2023-03-06,GTCo,19.3635279306518
2023-03-07,GTCo,19.084690104656048
2023-03-08,GTCo,19.825462166012404
2023-03-09,GTCo,20.09210843624807
2023-03-10,GTCo,18.929060082173507
2023-03-13,GTCo,19.17067091173803
2023-03-14,GTCo,18.944137106576203
2023-03-15,GTCo,18.53194763613469
2023-03-16,GTCo,18.95643633208308
2023-03-17,GTCo,19.67441550738269
2023-03-20,GTCo,20.349161322871208
2023-03-21,GTCo,19.79478131260656
2023-03-22,GTCo,19.61235882258807
2023-03-23,GTCo,19.86763264759033
2023-03-24,GTCo,20.580543881140063
2023-03-27,GTCo,20.271158646851276
2023-03-28,GTCo,20.170505814593135
2023-03-29,GTCo,19.440243291393177
2023-03-30,GTCo,18.678169559313005
2023-03-31,GTCo,19.23942580438919
2023-04-03,GTCo,20.19440709902329
2023-04-04,GTCo,20.173413259536005
2023-04-05,GTCo,20.91757045926141
2023-04-06,GTCo,21.212142916912786
2023-04-07,GTCo,20.77348236112112
2023-04-10,GTCo,21.065850218732443
2023-04-11,GTCo,22.251201410324843
2023-04-12,GTCo,22.25595328460465
2023-04-13,GTCo,23.5299512756296
2023-04-14,GTCo,21.51958141977166
2023-04-17,GTCo,22.173420972809808
2023-04-18,GTCo,22.272773298091
2023-04-19,GTCo,22.075318222249106
2023-04-20,GTCo,22.17785265139011
2023-04-21,GTCo,20.732160897837414
2023-04-24,GTCo,20.6049231324779
2023-04-25,GTCo,20.8918182389836
2023-04-26,GTCo,22.021441994486448
2023-04-27,GTCo,21.661035083372955
2023-04-28,GTCo,21.09335678260429
2023-05-01,GTCo,20.76001306430056
2023-05-02,GTCo,21.4601811505046
2023-05-03,GTCo,21.737613964720232
2023-05-04,GTCo,21.37334201469047
2023-05-05,GTCo,21.788499373467992
2023-05-08,GTCo,21.89373424798845
2023-05-09,GTCo,22.673926942696163
2023-05-10,GTCo,22.161279664022796
2023-05-11,GTCo,21.94301727052663
2023-05-12,GTCo,21.678445830157678
2023-05-15,GTCo,20.6366216821402
2023-05-16,GTCo,20.87978865139679
2023-05-17,GTCo,21.100170996663696
2023-05-18,GTCo,21.134633602434764
2023-05-19,GTCo,20.99407397516516
2023-05-22,GTCo,20.018503243258422
2023-05-23,GTCo,19.75759167527168
2023-05-24,GTCo,19.55280301432145
2023-05-25,GTCo,19.04447716289457
2023-05-26,GTCo,18.96592429441933
2023-05-29,GTCo,19.261297000735148
2023-05-30,GTCo,20.59200169698059
2023-05-31,GTCo,20.747091632748607
2023-06-01,GTCo,20.96352757236765
2023-06-02,GTCo,20.93996691807749
2023-06-05,GTCo,19.621683198108027
2023-06-06,GTCo,19.632206561129124
2023-06-07,GTCo,19.701858646457868
2023-06-08,GTCo,21.48835337277261
2023-06-09,GTCo,21.376692488210125
2023-06-12,GTCo,21.632647121832903
2023-06-13,GTCo,21.63810224047933
2023-06-14,GTCo,20.809708942715137
2023-06-15,GTCo,21.68172047851397
2023-06-16,GTCo,22.28639384400665
2023-06-19,GTCo,22.93898397598463
2023-06-20,GTCo,22.25986531071348
2023-06-21,GTCo,23.402487923035824
2023-06-22,GTCo,22.32545601692197
2023-06-23,GTCo,22.817208923284745
2023-06-26,GTCo,24.652097080714068
2023-06-27,GTCo,23.855096922122264
2023-06-28,GTCo,23.425667395646258
2023-06-29,GTCo,23.540908674148906
2023-06-30,GTCo,23.167506133559947
2023-07-03,GTCo,21.9876306031886
2023-07-04,GTCo,22.072010714670128
2023-07-05,GTCo,21.305382639122243
2023-07-06,GTCo,21.689385011542395
2023-07-07,GTCo,21.0399435323462
2023-07-10,GTCo,22.23300001320532
2023-07-11,GTCo,21.66927340653327
2023-07-12,GTCo,21.46002046847448
2023-07-13,GTCo,22.105627229519328
2023-07-14,GTCo,21.213580165357413
2023-07-17,GTCo,21.41254756576409
2023-07-18,GTCo,22.43719590611694
2023-07-19,GTCo,21.252634045668884
2023-07-20,GTCo,21.420161256928587
2023-07-21,GTCo,21.64536782835927
2023-07-24,GTCo,22.272080074900767
2023-07-25,GTCo,21.368809402309303
2023-07-26,GTCo,20.44294063180564
2023-07-27,GTCo,20.84628980945847
2023-07-28,GTCo,21.09255903702693
2023-07-31,GTCo,21.30738819412888
2023-08-01,GTCo,21.596083244683232
2023-08-02,GTCo,21.123921392817383
2023-08-03,GTCo,21.325589497438237
2023-08-04,GTCo,21.57459644167055
2023-08-07,GTCo,21.07782142296637
2023-08-08,GTCo,22.518094129570397
2023-08-09,GTCo,22.92414508911433
2023-08-10,GTCo,22.0292414561797
2023-08-11,GTCo,22.56890244974241
2023-08-14,GTCo,21.8512516548267
2023-08-15,GTCo,22.488024223486505
2023-08-16,GTCo,23.44317160873621
2023-08-17,GTCo,22.819149688633303
2023-08-18,GTCo,23.628006303136186
2023-08-21,GTCo,24.00324476340459
2023-08-22,GTCo,24.732681722552112
2023-08-23,GTCo,26.451106842320357
2023-08-24,GTCo,26.26535823523985
2023-08-25,GTCo,25.625582752572637
2023-08-28,GTCo,24.884053813910977
2023-08-29,GTCo,24.22576674613859
2023-08-30,GTCo,24.196313184285277
2023-08-31,GTCo,24.519650746588056
2023-09-01,GTCo,24.79187779102578
2023-09-04,GTCo,25.54981524421393
2023-09-05,GTCo,25.598540735043336
2023-09-06,GTCo,26.95989410266104
2023-09-07,GTCo,26.75270659510909
2023-09-08,GTCo,29.43944497679363
2023-09-11,GTCo,30.1283794265573
2023-09-12,GTCo,29.2893695563364
2023-09-13,GTCo,28.26364889111028
2023-09-14,GTCo,28.781918902182237
2023-09-15,GTCo,28.60152119214927
2023-09-18,GTCo,29.36056611657723
2023-09-19,GTCo,29.88938547765752
2023-09-20,GTCo,29.85746584454266
2023-09-21,GTCo,29.03642466027126
2023-09-22,GTCo,27.591874583502072
2023-09-25,GTCo,27.20785803475408
2023-09-26,GTCo,28.06805362117033
2023-09-27,GTCo,28.31819376857132
2023-09-28,GTCo,27.16144445118315
2023-09-29,GTCo,27.36468813495076
2023-10-02,GTCo,27.77283012161203
2023-10-03,GTCo,26.974452541786818
2023-10-04,GTCo,27.15798415516981
2023-10-05,GTCo,27.252427780669112
2023-10-06,GTCo,26.23245015877739
2023-10-09,GTCo,26.598322650682885
2023-10-10,GTCo,27.159646896868107
2023-10-11,GTCo,28.239205795942983
2023-10-12,GTCo,29.331935953886827
2023-10-13,GTCo,28.005471963490667
2023-10-16,GTCo,27.14959484711968
2023-10-17,GTCo,27.67864582012864
2023-10-18,GTCo,28.21678476992493
2023-10-19,GTCo,28.76664393255909
2023-10-20,GTCo,32.922486579108025
